"scenario","title","cloud","run_id","requirements","expected_admission","observed_admission","outcome","expected_rule","observed_rule","image","timestamp","detail","message"
"TC-01","Pipeline-built image: signed, SBOM-attested and provenance-attested, deployed by digest","aws","30695147871","SR-01;SR-03;SR-04","ADMIT","ADMIT","PASS","none (fully compliant)","","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:4581cb15e39e9884f215d7681ad629006059f7becff2046c7f97cbe0a912cbe7","2026-08-01T10:11:02Z","signed, SBOM-attested and provenance-attested by this run; pod phase Pending","pod/tc-01 created"
"TC-02","Public image from an unapproved registry (nginx:latest, docker.io)","aws","30695147871","SR-05","DENY","DENY","PASS","verify-image-signature/block-unapproved-registry","verify-image-signature/block-unapproved-registry","nginx:latest","2026-08-01T10:11:05Z","public image, unapproved registry","Error from server: admission webhook ""validate.kyverno.svc-ignore"" denied the request: resource Pod/supply-chain-demo/tc-02 was blocked due to the following policies verify-image-signature: block-unapproved-registry: Only images from the approved registry (812982728774.dkr.ecr.eu-west-1.amazonaws.com) are permitted."
"TC-03","Public image from an unapproved registry (alpine:latest, docker.io)","aws","30695147871","SR-05","DENY","DENY","PASS","verify-image-signature/block-unapproved-registry","verify-image-signature/block-unapproved-registry","alpine:latest","2026-08-01T10:11:09Z","public image, unapproved registry","Error from server: admission webhook ""validate.kyverno.svc-ignore"" denied the request: resource Pod/supply-chain-demo/tc-03 was blocked due to the following policies verify-image-signature: block-unapproved-registry: Only images from the approved registry (812982728774.dkr.ecr.eu-west-1.amazonaws.com) are permitted."
"TC-04","Unsigned image pushed to the approved registry","aws","30695147871","SR-01;SR-06","DENY","DENY","PASS","verify-image-signature/check-image-signature","verify-image-signature/check-image-signature,verify-sbom-cyclonedx/check-sbom-cyclonedx,verify-slsa-provenance/check-slsa-provenance","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:5d316da4039edf46bbddb586fc38dba29a26a9fa41138c55681f1ad99e17cbf9","2026-08-01T10:11:19Z","pushed to the approved registry without signing","Error from server: admission webhook ""mutate.kyverno.svc-ignore"" denied the request: resource Pod/supply-chain-demo/tc-04 was blocked due to the following policies verify-image-signature: check-image-signature: 'failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:5d316da4039edf46bbddb586fc38dba29a26a9fa41138c55681f1ad99e17cbf9: .attestors[0].entries[0].keyless: no matching signatures' verify-sbom-cyclonedx: check-sbom-cyclonedx: 'failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:5d316da4039edf46bbddb586fc38dba29a26a9fa41138c55681f1ad99e17cbf9: .attestors[0].entries[0].keyless: no matching signatures' verify-slsa-provenance: check-slsa-provenance: 'failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:5d316da4039edf46bbddb586fc38dba29a26a9fa41138c55681f1ad99e17cbf9: .attestors[0].entries[0].keyless: no matching signatures'"
"TC-05","Namespace scoping: the TC-04 unsigned image in the default namespace","aws","30695147871","SR-07","ADMIT","ADMIT","PASS","none (policy match scope)","","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:5d316da4039edf46bbddb586fc38dba29a26a9fa41138c55681f1ad99e17cbf9","2026-08-01T10:11:24Z","identical image to TC-04; only the namespace differs; pod phase Pending","pod/tc-05-scope created"
