condition,group,iteration,client_ms,accepted
baseline,baseline,1,2113,true
baseline,baseline,2,2008,true
baseline,baseline,3,2144,true
baseline,baseline,4,2106,true
baseline,baseline,5,2044,true
baseline,baseline,6,2033,true
baseline,baseline,7,2048,true
baseline,baseline,8,2085,true
baseline,baseline,9,2107,true
baseline,baseline,10,1985,true
baseline,baseline,11,1995,true
baseline,baseline,12,2191,true
baseline,baseline,13,2009,true
baseline,baseline,14,2021,true
baseline,baseline,15,1988,true
baseline,baseline,16,2171,true
baseline,baseline,17,1981,true
baseline,baseline,18,1978,true
baseline,baseline,19,2000,true
baseline,baseline,20,2076,true
baseline,baseline,21,2030,true
baseline,baseline,22,2012,true
baseline,baseline,23,1996,true
baseline,baseline,24,2008,true
baseline,baseline,25,1988,true
baseline,baseline,26,1977,true
baseline,baseline,27,2051,true
baseline,baseline,28,1975,true
baseline,baseline,29,2051,true
baseline,baseline,30,2008,true
enforce,enforce,1,2127,true
enforce,enforce,2,2109,true
enforce,enforce,3,2073,true
enforce,enforce,4,2063,true
enforce,enforce,5,2101,true
enforce,enforce,6,2033,true
enforce,enforce,7,2105,true
enforce,enforce,8,2058,true
enforce,enforce,9,2071,true
enforce,enforce,10,2049,true
enforce,enforce,11,2049,true
enforce,enforce,12,2097,true
enforce,enforce,13,2039,true
enforce,enforce,14,2120,true
enforce,enforce,15,2051,true
enforce,enforce,16,2071,true
enforce,enforce,17,2149,true
enforce,enforce,18,2037,true
enforce,enforce,19,2053,true
enforce,enforce,20,2014,true
enforce,enforce,21,2051,true
enforce,enforce,22,2040,true
enforce,enforce,23,2053,true
enforce,enforce,24,2052,true
enforce,enforce,25,2134,true
enforce,enforce,26,2154,true
enforce,enforce,27,2102,true
enforce,enforce,28,2053,true
enforce,enforce,29,2082,true
enforce,enforce,30,2060,true
audit,audit,1,2079,true
audit,audit,2,2055,true
audit,audit,3,2069,true
audit,audit,4,2042,true
audit,audit,5,2040,true
audit,audit,6,2163,true
audit,audit,7,2120,true
audit,audit,8,2115,true
audit,audit,9,2139,true
audit,audit,10,2107,true
audit,audit,11,2050,true
audit,audit,12,2073,true
audit,audit,13,2056,true
audit,audit,14,2049,true
audit,audit,15,2040,true
audit,audit,16,2009,true
audit,audit,17,2078,true
audit,audit,18,2287,true
audit,audit,19,2098,true
audit,audit,20,2034,true
audit,audit,21,2050,true
audit,audit,22,2110,true
audit,audit,23,2040,true
audit,audit,24,2059,true
audit,audit,25,2127,true
audit,audit,26,2029,true
audit,audit,27,2081,true
audit,audit,28,2034,true
audit,audit,29,2123,true
audit,audit,30,2135,true
