condition,group,iteration,client_ms,accepted
size-small,size,1,2072,true
size-small,size,2,2105,true
size-small,size,3,2073,true
size-small,size,4,2171,true
size-small,size,5,2206,true
size-small,size,6,2191,true
size-small,size,7,2082,true
size-small,size,8,2114,true
size-small,size,9,2160,true
size-small,size,10,2365,true
size-small,size,11,2224,true
size-small,size,12,2123,true
size-small,size,13,2320,true
size-small,size,14,2130,true
size-small,size,15,2195,true
size-small,size,16,2076,true
size-small,size,17,2180,true
size-small,size,18,2281,true
size-small,size,19,2120,true
size-small,size,20,2144,true
size-medium,size,1,2223,true
size-medium,size,2,3351,true
size-medium,size,3,2056,true
size-medium,size,4,2186,true
size-medium,size,5,2156,true
size-medium,size,6,2105,true
size-medium,size,7,2061,true
size-medium,size,8,2072,true
size-medium,size,9,2168,true
size-medium,size,10,2163,true
size-medium,size,11,2128,true
size-medium,size,12,2069,true
size-medium,size,13,2131,true
size-medium,size,14,2116,true
size-medium,size,15,2127,true
size-medium,size,16,2059,true
size-medium,size,17,2108,true
size-medium,size,18,2113,true
size-medium,size,19,2109,true
size-medium,size,20,2085,true
size-large,size,1,3335,true
size-large,size,2,2087,true
size-large,size,3,2111,true
size-large,size,4,2139,true
size-large,size,5,2058,true
size-large,size,6,2119,true
size-large,size,7,2102,true
size-large,size,8,2159,true
size-large,size,9,2076,true
size-large,size,10,2093,true
size-large,size,11,2114,true
size-large,size,12,2135,true
size-large,size,13,2102,true
size-large,size,14,2104,true
size-large,size,15,2093,true
size-large,size,16,2056,true
size-large,size,17,2128,true
size-large,size,18,2077,true
size-large,size,19,2131,true
size-large,size,20,2082,true
size-xlarge,size,1,2158,true
size-xlarge,size,2,2055,true
size-xlarge,size,3,2087,true
size-xlarge,size,4,2100,true
size-xlarge,size,5,2090,true
size-xlarge,size,6,2049,true
size-xlarge,size,7,2082,true
size-xlarge,size,8,2109,true
size-xlarge,size,9,2120,true
size-xlarge,size,10,2089,true
size-xlarge,size,11,2084,true
size-xlarge,size,12,2149,true
size-xlarge,size,13,2155,true
size-xlarge,size,14,2098,true
size-xlarge,size,15,2128,true
size-xlarge,size,16,2044,true
size-xlarge,size,17,2110,true
size-xlarge,size,18,2135,true
size-xlarge,size,19,2336,true
size-xlarge,size,20,2109,true
