"scenario","title","cloud","run_id","requirements","expected_admission","observed_admission","outcome","expected_rule","observed_rule","image","timestamp","detail","message"
"A1","Unsigned image from an unapproved external registry (alpine:latest, docker.io)","aws","31887855859","SR-05","DENY","DENY","PASS","verify-image-signature/block-unapproved-registry","verify-image-signature/block-unapproved-registry","alpine:latest","2026-08-15T13:43:45Z","public image deployed directly; no build, no signature, outside the approved registry","Error from server: admission webhook ""validate.kyverno.svc-fail"" denied the request: resource Pod/supply-chain-demo/attack1 was blocked due to the following policies verify-image-signature: block-unapproved-registry: Only images from the approved registry (812982728774.dkr.ecr.eu-west-1.amazonaws.com) are permitted."
"A2","Valid Cosign signature from the wrong identity (attacker-held local key)","aws","31887855859","SR-01","DENY","DENY","PASS","verify-image-signature/check-image-signature","verify-image-signature/check-image-signature,verify-sbom-cyclonedx/check-sbom-cyclonedx,verify-slsa-provenance/check-slsa-provenance","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:d94bb5cdae3e0c16236a4cb0ec093f765eab685944d06202c5b57720eb6585d5","2026-08-15T13:44:01Z","signed with an attacker-generated key pair, not the pinned OIDC identity","Error from server: admission webhook ""mutate.kyverno.svc-fail"" denied the request: resource Pod/supply-chain-demo/attack2 was blocked due to the following policies verify-image-signature: check-image-signature: |- failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:d94bb5cdae3e0c16236a4cb0ec093f765eab685944d06202c5b57720eb6585d5: .attestors[0].entries[0].keyless: no matching signatures: empty key empty key verify-sbom-cyclonedx: check-sbom-cyclonedx: |- failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:d94bb5cdae3e0c16236a4cb0ec093f765eab685944d06202c5b57720eb6585d5: .attestors[0].entries[0].keyless: no matching signatures: empty key empty key verify-slsa-provenance: check-slsa-provenance: |- failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:d94bb5cdae3e0c16236a4cb0ec093f765eab685944d06202c5b57720eb6585d5: .attestors[0].entries[0].keyless: no matching signatures: empty key empty key"
"A3","Tag redirected to unsigned content after signing (pre-admission TOCTOU)","aws","31887855859","SR-02","DENY","DENY","PASS","verify-image-signature/check-image-signature","verify-image-signature/check-image-signature,verify-sbom-cyclonedx/check-sbom-cyclonedx,verify-slsa-provenance/check-slsa-provenance","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world:attack3-tagmove-31887855859","2026-08-15T13:44:31Z","signed D1=sha256:c4d2387a446053deee9a94265d6691179db5b5806507e03404434a4c9f22be6d; deployed by tag, which now resolves to unsigned D2=sha256:e68057165acb7ae6499fe0b8fa1cf42fa1bc13bc006805394f050945e0c03205","Error from server: admission webhook ""mutate.kyverno.svc-fail"" denied the request: resource Pod/supply-chain-demo/attack3 was blocked due to the following policies verify-image-signature: check-image-signature: 'failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world:attack3-tagmove-31887855859: .attestors[0].entries[0].keyless: no signatures found' verify-sbom-cyclonedx: check-sbom-cyclonedx: 'failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world:attack3-tagmove-31887855859: .attestors[0].entries[0].keyless: no signatures found' verify-slsa-provenance: check-slsa-provenance: 'failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world:attack3-tagmove-31887855859: .attestors[0].entries[0].keyless: no signatures found'"
"A4","Signed, provenance attested, CycloneDX SBOM attestation omitted","aws","31887855859","SR-03","DENY","DENY","PASS","verify-sbom-cyclonedx/check-sbom-cyclonedx","verify-sbom-cyclonedx/check-sbom-cyclonedx","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:7d417d5ed54a3cc16fad19c77057372c0c81b2200f603882feed475a1b4ae6a2","2026-08-15T13:44:46Z","signature and SLSA provenance present; CycloneDX SBOM attestation is the only missing control","Error from server: admission webhook ""mutate.kyverno.svc-fail"" denied the request: resource Pod/supply-chain-demo/attack4 was blocked due to the following policies verify-sbom-cyclonedx: check-sbom-cyclonedx: 'image attestations verification failed, verifiedCount: 0, requiredCount: 1, error: .attestations[0].attestors[0].entries[0].keyless: attestions not found for predicate type https://cyclonedx.org/bom'"
"A5","Signed, SBOM attested, SLSA provenance attestation omitted","aws","31887855859","SR-04","DENY","DENY","PASS","verify-slsa-provenance/check-slsa-provenance","verify-slsa-provenance/check-slsa-provenance","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:4275e01e5e5ccc0a69c2a7f442eab51226d7088c2d024609eb66e576ae4959e9","2026-08-15T13:45:02Z","signature and CycloneDX SBOM present; SLSA provenance attestation is the only missing control","Error from server: admission webhook ""mutate.kyverno.svc-fail"" denied the request: resource Pod/supply-chain-demo/attack5 was blocked due to the following policies verify-slsa-provenance: check-slsa-provenance: 'image attestations verification failed, verifiedCount: 0, requiredCount: 1, error: .attestations[0].attestors[0].entries[0].keyless: attestions not found for predicate type https://slsa.dev/provenance/v1'"
"A6","Unsigned image pushed to the approved registry (insider build)","aws","31887855859","SR-01;SR-06","DENY","DENY","PASS","verify-image-signature/check-image-signature","verify-image-signature/check-image-signature,verify-sbom-cyclonedx/check-sbom-cyclonedx,verify-slsa-provenance/check-slsa-provenance","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:eb789eeb2c0e8a50cec85fbf8c8007ff2c8982b46cf2ff89891e53ae15bcae15","2026-08-15T13:45:09Z","pushed to the approved registry; no Cosign signature and no attestations","Error from server: admission webhook ""mutate.kyverno.svc-fail"" denied the request: resource Pod/supply-chain-demo/attack6 was blocked due to the following policies verify-image-signature: check-image-signature: 'failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:eb789eeb2c0e8a50cec85fbf8c8007ff2c8982b46cf2ff89891e53ae15bcae15: .attestors[0].entries[0].keyless: no signatures found' verify-sbom-cyclonedx: check-sbom-cyclonedx: 'failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:eb789eeb2c0e8a50cec85fbf8c8007ff2c8982b46cf2ff89891e53ae15bcae15: .attestors[0].entries[0].keyless: no signatures found' verify-slsa-provenance: check-slsa-provenance: 'failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:eb789eeb2c0e8a50cec85fbf8c8007ff2c8982b46cf2ff89891e53ae15bcae15: .attestors[0].entries[0].keyless: no signatures found'"
"TC-NS","Namespace scoping: the A6 unsigned image in the default namespace","aws","31887855859","SR-07","ADMIT","ADMIT","PASS","none (policy match scope)","","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:eb789eeb2c0e8a50cec85fbf8c8007ff2c8982b46cf2ff89891e53ae15bcae15","2026-08-15T13:45:14Z","same artefact denied by A6 in supply-chain-demo; pod phase in default: Pending","pod/tc-ns-probe created"
