"scenario","title","cloud","run_id","requirements","expected_admission","observed_admission","outcome","expected_rule","observed_rule","image","timestamp","detail","message"
"E1","Signature and attestations minted by a different workflow of the same repository on main","aws","30725994664","SR-01","ADMIT","ADMIT","PASS","none — the pinned identity's workflow path is a wildcard","","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:82adca42ffd19447085c18fd02b356ec387f004e12a59fd1a943ea5a90ea6648","2026-08-02T00:53:09Z","signed, SBOM-attested and provenance-attested entirely by evasion-tests.yml; the release pipeline never ran for this image","pod/evasion1 created"
"E2","Tag moved to unsigned content after the pod was admitted (post-admission TOCTOU)","aws","30725994664","SR-02","EVADED","EVADED","PASS","none — no admission review occurs when the kubelet re-pulls","","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world:evasion2-toctou-30725994664","2026-08-02T00:54:15Z","verified D1=sha256:4dfaf472bced383c4d0aa22b0f707eb235677b6386025d3136aac0737df9d345; tag moved to unsigned D2=sha256:56ca97f1548890e53161844b736c16e52969f765dc233da04d3cec506fcf008a after admission; same pod object: true; substitution observed after 25s","pod supply-chain-demo/evasion2 was admitted against the signed sha256:4dfaf472bced383c4d0aa22b0f707eb235677b6386025d3136aac0737df9d345 and re-pulled without any admission review"
"E3","Valid attestations replayed onto a different, correctly signed digest","aws","30725994664","SR-03;SR-04","DENY","DENY","PASS","verify-sbom-cyclonedx/check-sbom-cyclonedx","verify-sbom-cyclonedx/check-sbom-cyclonedx,verify-slsa-provenance/check-slsa-provenance","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:0f0e80ecc025804834dfe022f874368eac88b77f206e45baecb6dd0b38fcb979","2026-08-02T00:54:46Z","target signed correctly; SBOM and provenance attestations copied verbatim from donor sha256:4352490a35646ec2cf7e7defd642f76b27577420f23b2b25b9c7d4aadd02cd9e","Error from server: admission webhook ""mutate.kyverno.svc-ignore"" denied the request: resource Pod/supply-chain-demo/evasion3 was blocked due to the following policies verify-sbom-cyclonedx: check-sbom-cyclonedx: |- failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:0f0e80ecc025804834dfe022f874368eac88b77f206e45baecb6dd0b38fcb979: no matching attestations: no matching subject digest found no matching subject digest found verify-slsa-provenance: check-slsa-provenance: |- failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:0f0e80ecc025804834dfe022f874368eac88b77f206e45baecb6dd0b38fcb979: no matching attestations: no matching subject digest found no matching subject digest found"
