"scenario","title","cloud","run_id","requirements","expected_admission","observed_admission","outcome","expected_rule","observed_rule","image","timestamp","detail","message"
"E1","Signature and attestations minted by a different workflow of the same repository on main","aws","31888272847","SR-01","ADMIT","ADMIT","PASS","none — the pinned identity's workflow path is a wildcard","","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:82adca42ffd19447085c18fd02b356ec387f004e12a59fd1a943ea5a90ea6648","2026-08-15T13:51:34Z","signed, SBOM-attested and provenance-attested entirely by evasion-tests.yml; the release pipeline never ran for this image","pod/evasion1 created"
"E2","Tag moved to unsigned content after the pod was admitted (post-admission TOCTOU)","aws","31888272847","SR-02","EVADED","EVADED","PASS","none — no admission review occurs when the kubelet re-pulls","","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world:evasion2-toctou-31888272847","2026-08-15T13:52:45Z","verified D1=sha256:d52bdb6cdf711bbd1347bcb0b37972f07aba721f48d46d1618c9ad6aeaf0345e; tag moved to unsigned D2=sha256:78944c5bac877262589b18c8a3124c196ab7ba346922075a410471748719a810 after admission; same pod object: true; substitution observed after 14s","pod supply-chain-demo/evasion2 was admitted against the signed sha256:d52bdb6cdf711bbd1347bcb0b37972f07aba721f48d46d1618c9ad6aeaf0345e and re-pulled without any admission review"
"E3","Valid attestations replayed onto a different, correctly signed digest","aws","31888272847","SR-03;SR-04","DENY","DENY","PASS","verify-sbom-cyclonedx/check-sbom-cyclonedx","verify-sbom-cyclonedx/check-sbom-cyclonedx,verify-slsa-provenance/check-slsa-provenance","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:6d16c1a3d119ca4bbd2f54e66096f178c5bcffb5187f37eef0e439e8de8695a1","2026-08-15T13:53:28Z","target signed correctly; SBOM and provenance attestations copied verbatim from donor sha256:4352490a35646ec2cf7e7defd642f76b27577420f23b2b25b9c7d4aadd02cd9e","Error from server: admission webhook ""mutate.kyverno.svc-ignore"" denied the request: resource Pod/supply-chain-demo/evasion3 was blocked due to the following policies verify-sbom-cyclonedx: check-sbom-cyclonedx: |- image attestations verification failed, verifiedCount: 0, requiredCount: 1, error: no matching attestations: no matching subject digest found no matching subject digest found verify-slsa-provenance: check-slsa-provenance: |- image attestations verification failed, verifiedCount: 0, requiredCount: 1, error: no matching attestations: no matching subject digest found no matching subject digest found"
