"scenario","title","cloud","run_id","requirements","expected_admission","observed_admission","outcome","expected_rule","observed_rule","image","timestamp","detail","message"
"TC-01","Pipeline-built image: signed, SBOM-attested and provenance-attested, deployed by digest","aws","31885975456","SR-01;SR-03;SR-04","ADMIT","ADMIT","PASS","none (fully compliant)","","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:bdf6748294c852c6e9c8bdbacfd58284daa3aa94d1f2500de24ce2a2c8043481","2026-08-15T13:01:09Z","signed, SBOM-attested and provenance-attested by this run; pod phase Succeeded","pod/tc-01 created"
"TC-02","Public image from an unapproved registry (nginx:latest, docker.io)","aws","31885975456","SR-05","DENY","DENY","PASS","verify-image-signature/block-unapproved-registry","verify-image-signature/block-unapproved-registry","nginx:latest","2026-08-15T13:01:13Z","public image, unapproved registry","Error from server: admission webhook ""validate.kyverno.svc-ignore"" denied the request: resource Pod/supply-chain-demo/tc-02 was blocked due to the following policies verify-image-signature: block-unapproved-registry: Only images from the approved registry (812982728774.dkr.ecr.eu-west-1.amazonaws.com) are permitted."
"TC-03","Public image from an unapproved registry (alpine:latest, docker.io)","aws","31885975456","SR-05","DENY","DENY","PASS","verify-image-signature/block-unapproved-registry","verify-image-signature/block-unapproved-registry","alpine:latest","2026-08-15T13:01:17Z","public image, unapproved registry","Error from server: admission webhook ""validate.kyverno.svc-ignore"" denied the request: resource Pod/supply-chain-demo/tc-03 was blocked due to the following policies verify-image-signature: block-unapproved-registry: Only images from the approved registry (812982728774.dkr.ecr.eu-west-1.amazonaws.com) are permitted."
"TC-04","Unsigned image pushed to the approved registry","aws","31885975456","SR-01;SR-06","DENY","DENY","PASS","verify-image-signature/check-image-signature","verify-image-signature/check-image-signature,verify-sbom-cyclonedx/check-sbom-cyclonedx,verify-slsa-provenance/check-slsa-provenance","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:82b0531509c36cf375793ce911d7b969deaa6032dae0454c3c2529879c11ac6f","2026-08-15T13:01:32Z","pushed to the approved registry without signing","Error from server: admission webhook ""mutate.kyverno.svc-ignore"" denied the request: resource Pod/supply-chain-demo/tc-04 was blocked due to the following policies verify-image-signature: check-image-signature: 'failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:82b0531509c36cf375793ce911d7b969deaa6032dae0454c3c2529879c11ac6f: .attestors[0].entries[0].keyless: no signatures found' verify-sbom-cyclonedx: check-sbom-cyclonedx: 'failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:82b0531509c36cf375793ce911d7b969deaa6032dae0454c3c2529879c11ac6f: .attestors[0].entries[0].keyless: no signatures found' verify-slsa-provenance: check-slsa-provenance: 'failed to verify image 812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:82b0531509c36cf375793ce911d7b969deaa6032dae0454c3c2529879c11ac6f: .attestors[0].entries[0].keyless: no signatures found'"
"TC-05","Namespace scoping: the TC-04 unsigned image in the default namespace","aws","31885975456","SR-07","ADMIT","ADMIT","PASS","none (policy match scope)","","812982728774.dkr.ecr.eu-west-1.amazonaws.com/supply-chain/hello-world@sha256:82b0531509c36cf375793ce911d7b969deaa6032dae0454c3c2529879c11ac6f","2026-08-15T13:01:38Z","identical image to TC-04; only the namespace differs; pod phase Pending","pod/tc-05-scope created"
